"","Country","Edu2.FM","Labo.FM","Life.Exp","Edu.Exp","GNI","Mat.Mor","Ado.Birth","Parli.F"
"Samoa","Samoa",1.07166666666667,0.402397260273973,73.4,12.9,"5,327",58,28.3,6.1
"Botswana","Botswana",0.944801026957638,0.881127450980392,64.5,12.5,"16,646",170,44.2,9.5
"Moldova (Republic of)","Moldova (Republic of)",0.968944099378882,0.850678733031674,71.6,11.9,"5,223",21,29.3,20.8
"Egypt","Egypt",0.724422442244224,0.316844919786096,71.1,13.5,"10,512",45,43,2.2
"Turkmenistan","Turkmenistan",NA,0.609882964889467,65.6,10.8,"13,066",61,18,25.8
"Gabon","Gabon",1.49307479224377,0.859327217125382,64.4,12.5,"16,367",240,103,16.2
"Indonesia","Indonesia",0.810975609756098,0.610451306413302,68.9,13,"9,788",190,48.3,17.1
"Paraguay","Paraguay",0.855813953488372,0.65683962264151,72.9,11.9,"7,643",110,67,16.8
"Palestine, State of","Palestine, State of",0.907407407407407,0.231927710843373,72.9,13,"4,699",NA,45.8,NA
"Uzbekistan","Uzbekistan",NA,0.636243386243386,68.4,11.5,"5,567",36,38.8,16.4
"Philippines","Philippines",1.03453689167975,0.641154328732748,68.2,11.3,"7,915",120,46.8,27.1
"El Salvador","El Salvador",0.844036697247706,0.605063291139241,73,12.3,"7,349",69,76,27.4
"South Africa","South Africa",0.957839262187088,0.735537190082645,57.4,13.6,"12,122",140,50.9,40.7
"Viet Nam","Viet Nam",0.834269662921348,0.888077858880779,75.8,11.9,"5,092",49,29,24.3
"Bolivia (Plurinational State of)","Bolivia (Plurinational State of)",0.805414551607445,0.793572311495674,68.3,13.2,"5,760",200,71.9,51.8
"Kyrgyzstan","Kyrgyzstan",0.976239669421488,0.70440251572327,70.6,12.5,"3,044",75,29.3,23.3
"Iraq","Iraq",0.553784860557769,0.213467048710602,69.4,10.1,"14,003",67,68.7,26.5
"Cabo Verde","Cabo Verde",NA,0.615292712066906,73.3,13.5,"6,094",53,70.6,20.8
"Micronesia (Federated States of)","Micronesia (Federated States of)",NA,NA,69.1,11.7,"3,432",96,18.6,0
"Guyana","Guyana",1.26150627615063,0.529192546583851,66.4,10.3,"6,522",250,88.5,31.3
"Nicaragua","Nicaragua",1.02872062663185,0.590286425902864,74.9,11.5,"4,457",100,100.8,39.1
